month;folksfjoldi
2014-12;28089
2015-01;27330
2015-02;23400
2015-03;32722
2015-04;35874
2015-05;41419
2015-06;47790
2015-07;44659
2015-08;39889
2015-09;43851
2015-10;44740
2015-11;35687
2015-12;32913
2016-01;30036
2016-02;28878
2016-03;40336
2016-04;38876
2016-05;46736
2016-06;67075
2016-07;55501
2016-08;44226
2016-09;48089
2016-10;50080
2016-11;45137
2016-12;41287
2017-01;37291
2017-02;35161
2017-03;40877
2017-04;62173
2017-05;51280
2017-06;62234
2017-07;62483
2017-08;53732
2017-09;57175
2017-10;59300
2017-11;51925
2017-12;45321
2018-01;39067
2018-02;40222
2018-03;56767
2018-04;52773
2018-05;62836
2018-06;71208
2018-07;66239
2018-08;56131
2018-09;57821
2018-10;63961
2018-11;51445
2018-12;49623
2019-01;40585
2019-02;40575
2019-03;43271
2019-04;60923
2019-05;56969
2019-06;64790
2019-07;60327
2019-08;48479
2019-09;49703
2019-10;56855
2019-11;45477
2019-12;43429
2020-01;37643
2020-02;33589
2020-03;14140
2020-04;338
2020-05;799
2020-06;5135
2020-07;13355
2020-08;7922
2020-09;4885
2020-10;3924
2020-11;1983
2020-12;3516
2021-01;6089
2021-02;2342
2021-03;3121
2021-04;2912
2021-05;4373
2021-06;13569
2021-07;31036
2021-08;20569
2021-09;28892
2021-10;39467
2021-11;33727
2021-12;33270
2022-01;15208
2022-02;27985
2022-03;34191
2022-04;57875
2022-05;62412
2022-06;65857
2022-07;65284
2022-08;49464
2022-09;60282
2022-10;71536
2022-11;34368
2022-12;42188
2023-01;41841
2023-02;39201
2023-03;40155
2023-04;56528
2023-05;61782
2023-06;55731
2023-07;71088
2023-08;46061
2023-09;50120
2023-10;57933
2023-11;45378
2023-12;37291
2024-01;39622
2024-02;37415
2024-03;57736
2024-04;45022
2024-05;53232
2024-06;64871
2024-07;62614
2024-08;52177
2024-09;51785
2024-10;54796
2024-11;35352
2024-12;46283
