Manudur;Medal daglan;Medal vidskipti;Medal styrivextir
2015-01;6.25;4.25;4.50
2015-02;6.25;4.25;4.50
2015-03;6.25;4.25;4.50
2015-04;6.25;4.25;4.50
2015-05;6.25;4.25;4.50
2015-06;6.58;4.58;4.83
2015-07;6.75;4.75;5.00
2015-08;6.97;4.97;5.22
2015-09;7.25;5.25;5.50
2015-10;7.25;5.25;5.50
2015-11;7.48;5.48;5.73
2015-12;7.50;5.50;5.75
2016-01;7.50;5.50;5.75
2016-02;7.50;5.50;5.75
2016-03;7.50;5.50;5.75
2016-04;7.50;5.50;5.75
2016-05;7.50;5.50;5.75
2016-06;7.50;5.50;5.75
2016-07;7.50;5.50;5.75
2016-08;7.36;5.36;5.61
2016-09;7.00;5.00;5.25
2016-10;7.00;5.00;5.25
2016-11;7.00;5.00;5.25
2016-12;6.86;4.86;5.11
2017-01;6.75;4.75;5.00
2017-02;6.75;4.75;5.00
2017-03;6.75;4.75;5.00
2017-04;6.75;4.75;5.00
2017-05;6.62;4.62;4.88
2017-06;6.35;4.35;4.60
2017-07;6.25;4.25;4.50
2017-08;6.25;4.25;4.50
2017-09;6.25;4.25;4.50
2017-10;6.02;4.02;4.27
2017-11;6.00;4.00;4.25
2017-12;6.00;4.00;4.25
2018-01;6.00;4.00;4.25
2018-02;6.00;4.00;4.25
2018-03;6.00;4.00;4.25
2018-04;6.00;4.00;4.25
2018-05;6.00;4.00;4.25
2018-06;6.00;4.00;4.25
2018-07;6.00;4.00;4.25
2018-08;6.00;4.00;4.25
2018-09;6.00;4.00;4.25
2018-10;6.00;4.00;4.25
2018-11;6.20;4.20;4.45
2018-12;6.25;4.25;4.50
2019-01;6.25;4.25;4.50
2019-02;6.25;4.25;4.50
2019-03;6.25;4.25;4.50
2019-04;6.25;4.25;4.50
2019-05;6.08;4.08;4.33
2019-06;5.71;3.71;3.96
2019-07;5.50;3.50;3.75
2019-08;5.46;3.46;3.71
2019-09;5.25;3.25;3.50
2019-10;5.01;3.01;3.26
2019-11;4.79;2.79;3.04
2019-12;4.75;2.75;3.00
2020-01;4.75;2.75;3.00
2020-02;4.53;2.52;2.77
2020-03;3.93;1.93;2.18
2020-04;3.50;1.50;1.75
2020-05;3.22;1.22;1.47
2020-06;2.75;0.75;1.00
2020-07;2.75;0.75;1.00
2020-08;2.75;0.75;1.00
2020-09;2.75;0.75;1.00
2020-10;2.75;0.75;1.00
2020-11;2.64;0.64;0.89
2020-12;2.50;0.50;0.75
2021-01;2.50;0.50;0.75
2021-02;2.50;0.50;0.75
2021-03;2.50;0.50;0.75
2021-04;2.50;0.50;0.75
2021-05;2.61;0.61;0.86
2021-06;2.75;0.75;1.00
2021-07;2.75;0.75;1.00
2021-08;2.81;0.81;1.06
2021-09;3.00;1.00;1.25
2021-10;3.21;1.21;1.46
2021-11;3.48;1.48;1.73
2021-12;3.75;1.75;2.00
2022-01;3.75;1.75;2.00
2022-02;4.28;2.27;2.52
2022-03;4.50;2.50;2.75
2022-04;4.50;2.50;2.75
2022-05;5.40;3.40;3.65
2022-06;5.85;3.85;4.10
2022-07;6.50;4.50;4.75
2022-08;6.70;4.70;4.95
2022-09;7.25;5.25;5.50
2022-10;7.48;5.48;5.73
2022-11;7.57;5.57;5.82
2022-12;7.75;5.75;6.00
2023-01;7.75;5.75;6.00
2023-02;8.12;6.12;6.38
2023-03;8.60;6.60;6.85
2023-04;9.25;7.25;7.50
2023-05;9.56;7.56;7.81
2023-06;10.50;8.50;8.75
2023-07;10.50;8.50;8.75
2023-08;10.66;8.66;8.91
2023-09;11.00;9.00;9.25
2023-10;11.00;9.00;9.25
2023-11;11.00;9.00;9.25
2023-12;11.00;9.00;9.25
2024-01;11.00;9.00;9.25
2024-02;11.00;9.00;9.25
2024-03;11.00;9.00;9.25
2024-04;11.00;9.00;9.25
2024-05;11.00;9.00;9.25
2024-06;11.00;9.00;9.25
2024-07;11.00;9.00;9.25
2024-08;11.00;9.00;9.25
2024-09;11.00;9.00;9.25
2024-10;10.76;8.76;9.01
2024-11;10.56;8.56;8.81
2024-12;10.25;8.25;8.50
