Manudur;Vísitölugildi;Mánaðarbreyting%
2015-01;74.3;0.0
2015-02;74.7;0.5
2015-03;74.9;0.3
2015-04;75.0;0.2
2015-05;75.4;0.5
2015-06;77.1;2.3
2015-07;78.0;1.1
2015-08;78.2;0.3
2015-09;79.2;1.2
2015-10;79.5;0.3
2015-11;80.2;0.9
2015-12;80.9;0.9
2016-01;81.3;0.4
2016-02;84.1;3.5
2016-03;84.8;0.9
2016-04;85.0;0.3
2016-05;85.4;0.5
2016-06;86.7;1.5
2016-07;86.8;0.1
2016-08;87.0;0.3
2016-09;87.5;0.6
2016-10;87.7;0.3
2016-11;88.0;0.3
2016-12;88.3;0.4
2017-01;88.3;0.1
2017-02;88.7;0.4
2017-03;89.0;0.4
2017-04;89.2;0.2
2017-05;92.1;3.2
2017-06;93.0;1.0
2017-07;93.0;0.0
2017-08;93.2;0.2
2017-09;93.9;0.8
2017-10;94.0;0.1
2017-11;94.2;0.1
2017-12;94.3;0.2
2018-01;94.8;0.4
2018-02;95.1;0.4
2018-03;95.4;0.3
2018-04;95.7;0.3
2018-05;97.9;2.3
2018-06;98.5;0.7
2018-07;98.9;0.4
2018-08;98.8;-0.1
2018-09;99.4;0.6
2018-10;99.8;0.4
2018-11;100.0;0.1
2018-12;100.0;0.0
2019-01;100.3;0.3
2019-02;100.5;0.2
2019-03;100.7;0.2
2019-04;102.2;1.5
2019-05;102.9;0.7
2019-06;102.8;-0.1
2019-07;103.1;0.3
2019-08;103.1;0.0
2019-09;103.6;0.5
2019-10;104.0;0.4
2019-11;104.2;0.2
2019-12;104.5;0.3
2020-01;105.2;0.7
2020-02;105.3;0.1
2020-03;105.7;0.3
2020-04;109.1;3.3
2020-05;109.5;0.3
2020-06;109.7;0.2
2020-07;109.5;-0.1
2020-08;109.7;0.2
2020-09;110.6;0.8
2020-10;111.4;0.7
2020-11;111.8;0.4
2020-12;112.0;0.2
2021-01;116.1;3.7
2021-02;116.5;0.3
2021-03;116.9;0.4
2021-04;117.2;0.3
2021-05;117.7;0.4
2021-06;118.2;0.4
2021-07;118.0;-0.1
2021-08;118.4;0.3
2021-09;119.2;0.7
2021-10;119.8;0.5
2021-11;120.2;0.3
2021-12;120.2;0.0
2022-01;124.6;3.7
2022-02;124.9;0.3
2022-03;125.2;0.2
2022-04;127.2;1.6
2022-05;127.7;0.4
2022-06;127.7;0.0
2022-07;127.6;-0.1
2022-08;127.9;0.2
2022-09;128.9;0.8
2022-10;129.3;0.3
2022-11;129.8;0.4
2022-12;135.0;4.0
2023-01;135.2;0.2
2023-02;135.8;0.4
2023-03;137.1;0.9
2023-04;139.2;1.6
2023-05;140.0;0.6
2023-06;141.6;1.1
2023-07;141.2;-0.3
2023-08;141.6;0.3
2023-09;142.9;0.9
2023-10;143.4;0.4
2023-11;143.8;0.3
2023-12;144.1;0.2
2024-01;144.7;0.5
2024-02;145.0;0.2
2024-03;148.4;2.4
2024-04;149.1;0.5
2024-05;149.4;0.2
2024-06;150.1;0.5
2024-07;150.5;0.2
2024-08;150.6;0.1
2024-09;151.6;0.7
2024-10;152.1;0.3
2024-11;152.6;0.3
2024-12;153.2;0.4
